cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3500105,350010,Adamantina,2014,34185,39
3500204,350020,Adolfo,2014,3829,3
3500303,350030,Aguaí,2014,32206,529
3500402,350040,Águas da Prata,2014,7565,5
3500501,350050,Águas de Lindóia,2014,17623,11
3500550,350055,Águas de Santa Bárbara,2014,6171,7
3500600,350060,Águas de São Pedro,2014,2729,90
3500709,350070,Agudos,2014,35703,21
3500758,350075,Alambari,2014,5291,8
3500808,350080,Alfredo Marcondes,2014,4092,14
3500907,350090,Altair,2014,3722,4
3501004,350100,Altinópolis,2014,16043,2
3501103,350110,Alto Alegre,2014,4070,1
3501152,350115,Alumínio,2014,17110,9
3501202,350120,Álvares Florence,2014,3928,33
3501301,350130,Álvares Machado,2014,24875,17
3501400,350140,Álvaro de Carvalho,2014,4711,1
3501509,350150,Alvinlândia,2014,2977,0
3501608,350160,Americana,2014,219820,9055
3501707,350170,Américo Brasiliense,2014,34259,88
3501806,350180,Américo de Campos,2014,5802,63
3501905,350190,Amparo,2014,66789,274
3502002,350200,Analândia,2014,4373,4
3502101,350210,Andradina,2014,57135,52
3502200,350220,Angatuba,2014,22847,1
3502309,350230,Anhembi,2014,5688,0
3502408,350240,Anhumas,2014,3828,0
3502507,350250,Aparecida,2014,34393,107
3502606,350260,Aparecida d'Oeste,2014,4342,51
3502705,350270,Apiaí,2014,25187,0
3502754,350275,Araçariguama,2014,18515,18
3502804,350280,Araçatuba,2014,188501,1881
3502903,350290,Araçoiaba da Serra,2014,29065,46
3503000,350300,Aramina,2014,5279,1
3503109,350310,Arandu,2014,6361,0
3503158,350315,Arapeí,2014,2467,0
3503208,350320,Araraquara,2014,220190,1698
3503307,350330,Araras,2014,123141,134
3503356,350335,Arco-Íris,2014,1979,5
3503406,350340,Arealva,2014,7953,6
3503505,350350,Areias,2014,3689,5
3503604,350360,Areiópolis,2014,10511,2
3503703,350370,Ariranha,2014,8328,1
3503802,350380,Artur Nogueira,2014,46686,109
3503901,350390,Arujá,2014,78871,236
3503950,350395,Aspásia,2014,1816,9
3504008,350400,Assis,2014,97557,982
3504107,350410,Atibaia,2014,137520,1362
3504206,350420,Auriflama,2014,14113,60
3504305,350430,Avaí,2014,4804,153
3504404,350440,Avanhandava,2014,11339,17
3504503,350450,Avaré,2014,86439,3
3504602,350460,Bady Bassitt,2014,18713,41
3504701,350470,Balbinos,2014,3740,0
3504800,350480,Bálsamo,2014,8680,7
3504909,350490,Bananal,2014,10189,7
3505005,350500,Barão de Antonina,2014,3248,6
3505104,350510,Barbosa,2014,6289,37
3505203,350520,Bariri,2014,31679,222
3505302,350530,Barra Bonita,2014,35213,77
3505351,350535,Barra do Chapéu,2014,5225,0
3505401,350540,Barra do Turvo,2014,7492,2
3505500,350550,Barretos,2014,115772,50
3505609,350560,Barrinha,2014,29779,28
3505708,350570,Barueri,2014,267156,889
3505807,350580,Bastos,2014,20855,26
3505906,350590,Batatais,2014,57192,17
3506003,350600,Bauru,2014,356751,410
3506102,350610,Bebedouro,2014,75735,699
3506201,350620,Bento de Abreu,2014,2687,12
3506300,350630,Bernardino de Campos,2014,11058,3
3506359,350635,Bertioga,2014,53087,741
3506409,350640,Bilac,2014,7175,47
3506508,350650,Birigui,2014,112644,3869
3506607,350660,Biritiba Mirim,2014,29078,5
3506706,350670,Boa Esperança do Sul,2014,13532,805
3506805,350680,Bocaina,2014,11046,56
3506904,350690,Bofete,2014,9936,2
3507001,350700,Boituva,2014,52561,2
3507100,350710,Bom Jesus dos Perdões,2014,20407,24
3507159,350715,Bom Sucesso de Itararé,2014,3551,2
3507209,350720,Borá,2014,848,1
3507308,350730,Boracéia,2014,4435,18
3507407,350740,Borborema,2014,14510,12
3507456,350745,Borebi,2014,2433,0
3507506,350750,Botucatu,2014,133509,20
3507605,350760,Bragança Paulista,2014,156920,298
3507704,350770,Braúna,2014,5130,38
3507753,350775,Brejo Alegre,2014,2591,24
3507803,350780,Brodowski,2014,22503,13
3507902,350790,Brotas,2014,22395,219
3508009,350800,Buri,2014,19212,0
3508108,350810,Buritama,2014,16168,1566
3508207,350820,Buritizal,2014,4165,0
3508306,350830,Cabrália Paulista,2014,4375,0
3508405,350840,Cabreúva,2014,43350,22
3508504,350850,Caçapava,2014,89013,298
3508603,350860,Cachoeira Paulista,2014,30702,21
3508702,350870,Caconde,2014,18076,12
3508801,350880,Cafelândia,2014,16722,29
3508900,350890,Caiabu,2014,4011,2
3509007,350900,Caieiras,2014,89635,211
3509106,350910,Caiuá,2014,5188,11
3509205,350920,Cajamar,2014,73443,257
3509254,350925,Cajati,2014,28622,5
3509304,350930,Cajobi,2014,9613,93
3509403,350940,Cajuru,2014,23580,4
3509452,350945,Campina do Monte Alegre,2014,5696,3
3509502,350950,Campinas,2014,1103425,42757
3509601,350960,Campo Limpo Paulista,2014,75822,1105
3509700,350970,Campos do Jordão,2014,47700,9
3509809,350980,Campos Novos Paulista,2014,4677,4
3509908,350990,Cananéia,2014,12311,20
3509957,350995,Canas,2014,4576,7
3510005,351000,Cândido Mota,2014,29878,114
3510104,351010,Cândido Rodrigues,2014,2765,0
3510153,351015,Canitar,2014,5004,12
3510203,351020,Capão Bonito,2014,46509,21
3510302,351030,Capela do Alto,2014,19284,7
3510401,351040,Capivari,2014,49173,34
3510500,351050,Caraguatatuba,2014,112190,2593
3510609,351060,Carapicuíba,2014,377222,3248
3510708,351070,Cardoso,2014,11770,87
3510807,351080,Casa Branca,2014,28423,2199
3510906,351090,Cássia dos Coqueiros,2014,2709,1
3511003,351100,Castilho,2014,18823,47
3511102,351110,Catanduva,2014,114269,553
3511201,351120,Catiguá,2014,7107,8
3511300,351130,Cedral,2014,9467,8
