ano,mes,n
2013,1,54
2013,2,66
2013,3,108
2013,4,291
2013,5,718
2013,6,1037
2013,7,1378
2013,8,664
2013,9,362
2013,10,248
2013,11,120
2013,12,67
2014,1,80
2014,2,83
2014,3,128
2014,4,296
2014,5,477
2014,6,514
2014,7,455
2014,8,263
2014,9,178
2014,10,180
2014,11,86
2014,12,94
2015,1,77
2015,2,77
2015,3,180
2015,4,255
2015,5,319
2015,6,373
2015,7,428
2015,8,274
2015,9,231
2015,10,101
2015,11,115
2015,12,99
2016,1,69
2016,2,123
2016,3,590
2016,4,1104
2016,5,1189
2016,6,1362
2016,7,708
2016,8,525
2016,9,350
2016,10,238
2016,11,219
2016,12,126
2017,1,83
2017,2,132
2017,3,324
2017,4,432
2017,5,785
2017,6,657
2017,7,459
2017,8,430
2017,9,334
2017,10,344
2017,11,296
2017,12,148
